,City,Country,Lat,Lng,Hotel Name
0,celestun,MX,20.87,-90.4,Posada Lilia
1,chokurdakh,RU,70.63,147.92,
2,new norfolk,LR,6.65,-10.59,
3,rikitea,PF,-23.12,-134.97,Pension Maro'i
4,mataura,NZ,-46.19,168.86,Ellie's Villa
5,hermanus,ZA,-34.42,19.23,Misty Waves Boutique Hotel
6,avarua,CK,-21.21,-159.78,Paradise Inn
7,busselton,AU,-33.65,115.33,Observatory Guest House
8,yulara,AU,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
9,kapaa,US,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
10,talnakh,RU,69.49,88.4,Talnakh Hotel
11,moron,AR,-34.65,-58.62,Hotel Morón
12,port alfred,CD,-7.03,29.76,
13,ribeira grande,ES,42.75,-8.44,Pensión Residencial Victoria Drinks&Food
14,samarai,PG,-10.62,150.67,Nuli Sapi
15,ulladulla,AU,-35.35,150.47,Sandpiper Motel
16,atuona,PF,-9.8,-139.03,Villa Enata
17,hithadhoo,MV,-0.6,73.08,Scoop Guest House
18,pasighat,IN,28.07,95.33,Siang Guest House
19,bucerias,MX,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
20,amberley,US,39.2,-84.43,"Motel 6 Cincinnati, OH - Central - Norwood"
21,kaitangata,NZ,-46.28,169.85,Kaitangata Motor Camp
22,makakilo city,US,21.35,-158.09,Marriott's Ko Olina Beach Club
23,longyearbyen,SJ,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
24,saint-philippe,RE,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
25,punta arenas,PH,8.99,125.34,Vyjannex boarding house
26,east london,IS,65.0,-15.0,Hengifoss Guesthouse
27,vaini,TO,-21.2,-175.2,Keleti Beach Resort
28,ishigaki,JP,24.34,124.16,Hotel Peace Land Ishigakijima
29,guerrero negro,MX,17.67,-100.0,
30,ushuaia,AR,-54.8,-68.3,Albatros Hotel
31,lompoc,US,34.64,-120.46,Holiday Inn Express Lompoc
32,belaya gora,UA,49.03,25.77,Hotel Anastasia
33,qaanaaq,GL,77.48,-69.36,Qaanaaq Hotel
34,geraldton,AU,-28.77,114.6,Broadwater Mariner Resort
35,thompson,CA,55.74,-97.86,Burntwood Hotel
36,rwamagana,RW,-1.95,30.43,Centre Pastoral St. Augustin
37,waingapu,ID,-9.66,120.26,Pondok Wisata Elim
38,hilo,US,19.73,-155.09,Hilo Hawaiian Hotel
39,inirida,CO,3.87,-67.92,Fuente del Guania Hotel de Lujo
40,upernavik,GL,72.79,-56.15,Gina's Guesthouse - Upernavik
41,san cristobal,ML,13.3,-4.9,Hôtel Teriya
42,xichang,CN,27.9,102.26,Xichang ibis Hotel
43,victoria,HK,22.29,114.16,Mini Hotel Central
44,georgetown,MY,5.41,100.34,Cititel Penang
45,albany,US,42.6,-73.97,
46,provideniya,RU,64.38,-173.3,
47,kalmunai,LK,7.42,81.82,VS Villa
48,saskylakh,RU,71.92,114.08,
49,bambous virieux,MU,-20.26,57.41,Ti Cabanon (Cabe Ltd.)
50,narsipatnam,IN,17.67,82.62,Lodge Vooda Residency AC
51,mar del plata,ES,43.4,-4.01,Hotel Costa Esmeralda Suites
52,yurimaguas,PE,-5.9,-76.08,Rio Huallaga Hotel & Business Center
53,grajau,BR,-5.82,-46.14,Hotel Confiança
54,kieta,PG,-6.22,155.63,
55,jamestown,US,42.1,-79.24,Hampton Inn & Suites Jamestown
56,kruisfontein,ZA,-34.0,24.73,Oyster Bay House Rental
57,mount gambier,GB,53.66,-1.85,Premier Inn Huddersfield West hotel
58,roebourne,AU,-20.78,117.13,Harding River Caravan Park
59,coihaique,CL,-45.58,-72.07,Diego De Almagro Coyhaique
60,thouars,FR,46.98,-0.22,Contact-Hotel-du-Relais
61,youkounkoun,GN,12.53,-13.13,
62,saldanha,ZA,-33.01,17.94,Blue Bay Lodge
63,dikson,RU,73.51,80.55,
64,cape town,CL,-36.41,-71.9,MOTEL Mediterraneo
65,nikolskoye,RU,59.7,30.79,Tourist House - Sablino
66,allanridge,ZA,-27.75,26.64,The Hatchery
67,amalapuram,IN,16.58,82.02,swayamprabha service apartments
68,naze,JP,28.37,129.48,奄美ポートタワーホテル
69,caxito,AO,-8.58,13.66,
70,jaunpur,IN,25.73,82.68,Hotel Varun
71,karratha,AU,-20.74,116.85,ibis Styles Karratha
72,rocha,UY,-34.48,-54.33,Beleza Pura B&B
73,constitucion,CL,-35.33,-72.42,Hotel Boutique Las Azucenas
74,jaca,ES,42.57,-0.55,Hotel Real Jaca & Spa
75,warmbad,,-28.45,18.73,
76,yongchang,CN,30.04,119.73,Fuli Hotel
77,barrow,US,71.29,-156.79,King Eider Inn
78,faanui,PF,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
79,mahebourg,MU,-20.41,57.7,Shandrani Beachcomber Resort & Spa
80,ayr,GB,55.46,-4.63,Mercure Ayr Hotel
81,ponta do sol,PT,38.73,-28.27,
82,airai,TL,-8.93,125.41,Juvinal Martin
83,leshan,CN,29.56,103.76,Leshan Haiyun International Youth Hostel
84,pevek,RU,69.7,170.31,Severnoye Zoloto
85,khatanga,RU,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
86,buzdyak,RU,54.58,54.55,Tgk Alisa
87,araguacu,BR,-12.93,-49.83,Brunas Park Hotel
88,tadine,NC,-21.55,167.88,
89,hargeysa,SO,9.56,44.06,Imperial Hotel
90,ust-barguzin,RU,53.45,108.98,Chivurkiyskaya Skazka
91,snyder,US,32.72,-100.92,Holiday Inn Express & Suites Snyder
92,butaritari,KI,3.07,172.79,Isles Sunset Lodge
93,bethel,US,41.37,-73.41,Courtyard by Marriott Danbury
94,huarmey,PE,-10.07,-78.15,Hotel Miramar
95,collie,AU,-33.37,116.15,Collie Ridge
96,padang,ID,-0.95,100.35,Mercure Padang
97,moerai,PF,-22.43,-151.33,Le Manotel
98,cayenne,GF,4.93,-52.33,Hôtel Le Dronmi
99,okha,RU,53.57,142.95,Империя
100,alpoyeca,MX,17.67,-98.52,"Puente VEHICULAR ALPOYECA-SAN JOSE BUENA VISTA GUERRERO, MÉXICO."
101,cherskiy,RU,68.75,161.3,Gostinitsa
102,saint-pierre-des-corps,FR,47.38,0.73,Hôtel Mercure Tours Centre Gare et Congrès
103,ostrovnoy,RU,68.05,39.51,
104,teguldet,RU,57.31,88.17,Gostinitsa Kedr
105,mahuva,IN,21.09,71.76,Hotel Blue Diamond.
106,lafiagi,NG,8.87,5.42,Bus group international
107,leningradskiy,RU,69.38,178.42,
108,honningsvag,NO,70.98,25.97,Nordkapp Vandrerhjem
109,nanortalik,GL,60.14,-45.24,"NTS Rooms, Nanortalik"
110,port blair,CD,-7.03,29.76,
111,egvekinot,RU,66.32,-179.17,
112,nuqui,CO,5.71,-77.27,Hotel Nuquimar
113,yellowknife,CA,62.46,-114.35,The Explorer Hotel
114,rabat,MA,33.99,-6.84,Hôtel Mercure Rabat Sheherazade
115,beyla,GN,8.68,-8.63,DIAN SINKO
116,juarez,MX,31.73,-106.48,Holiday Inn Express El Paso - Downtown
117,hasaki,JP,35.73,140.83,Inubosaki Kanko Hotel
118,souillac,MU,-20.52,57.52,Bils' Villa
119,brae,GB,60.4,-1.35,Busta House Hotel
120,lagoa,PT,39.05,-27.98,Casa Das Faias
121,ambanja,MG,-13.68,48.45,Hotel Marrakech
122,verkhnetulomskiy,RU,68.61,31.8,Отель Уют
123,jiuquan,CN,39.74,98.52,Jiuquan Hotel
124,salta,AR,-24.79,-65.41,Hotel Alejandro I
125,batticaloa,LK,7.71,81.69,Grand Star Guest House
126,yevlax,AZ,40.61,47.15,Yevlax Şeher Heyder Eliyev Parki
127,wangaratta,AU,-36.37,146.33,Quality Hotel Wangaratta Gateway
128,tilichiki,RU,60.47,166.1,
129,bluff,NZ,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
130,tiksi,RU,71.69,128.87,Arktika
131,hobart,AU,-42.88,147.33,St Ives Hobart Accommodation Tasmania
132,ayan,RU,56.45,138.17,Gostinitsa
133,bredasdorp,ZA,-34.53,20.04,Bredasdorp Country Manor
134,chuy,UY,-33.7,-53.46,Nuevo Hotel Plaza
135,morehead,US,37.27,-87.18,CCI Express Inn
136,severo-kurilsk,RU,50.68,156.12,Kak Doma
137,necochea,AR,-38.55,-58.74,dyd -mar Hotel
138,nizwa,OM,22.93,57.53,Orient Apartments
139,clyde river,US,41.3,-82.98,Red Roof Inn Clyde
140,kodiak,US,57.79,-152.41,Best Western Kodiak Inn and Convention Center
141,korla,CN,41.76,86.15,Gulisitan Hotel
142,bataysk,RU,47.14,39.75,Gostinichnyy Kompleks Aleksandr
143,phonhong,LA,18.5,102.42,Napakuang Resort
144,haines junction,US,59.23,-135.44,Haines Alaska guesthouse
145,tuktoyaktuk,CA,69.45,-133.04,End of The Road Ltd.
146,mount isa,GB,53.66,-1.85,Premier Inn Huddersfield West hotel
147,paamiut,GL,61.99,-49.67,Yeet Hotel
148,pisco,PE,-13.7,-76.22,Hotel San Isidro Oficial
149,dingle,PH,11.0,122.67,SEGAYA PROPERTY
150,fortuna,US,40.6,-124.16,Super 8 by Wyndham Fortuna
151,nuuk,GL,64.18,-51.72,Vandrehuset
152,porto recanati,PT,41.15,-8.61,Hotel Tiara Park Atlantic Porto
153,cascais,PT,38.7,-9.42,Hotel Vila Galé Cascais
154,ahipara,NZ,-35.17,173.17,Ahipara Holiday Park
155,phan thiet,TH,19.55,99.74,Khum Tai Lue Resort
156,stornoway,GB,58.21,-6.39,Caladh Inn
157,velingara,SN,13.15,-14.12,Hotel Najla
158,puerto ayora,ES,36.59,-6.23,Hotel Campomar Playa
159,shahgarh,IN,24.32,79.13,jain chat centar
160,falciu,RO,46.3,28.14,Coliba Bozia George Paul Jumi Andrei
161,hohhot,CN,40.81,111.65,Sheraton Hohhot Hotel
162,cabo rojo,BR,-8.28,-35.03,Sheraton Reserva do Paiva
163,cabo san lucas,BR,-8.28,-35.03,Sheraton Reserva do Paiva
164,cidreira,BR,-30.18,-50.21,Hotel Castelo
165,camden,US,39.78,-74.97,Days Inn by Wyndham Berlin Voorhees
166,buluang,PH,13.31,123.34,Enon Beach Resort
167,bengkulu,ID,-3.8,102.27,Grage Hotel Bengkulu
168,port elizabeth,CD,-7.03,29.76,
169,komsomolskiy,UZ,40.43,71.72,Ikathouse
170,castro,BR,-24.79,-50.01,CHACARA BAILLY
171,pavilosta,LV,56.89,21.19,"Hotel ""Vēju paradīze"""
172,payakumbuh,ID,-0.22,100.63,OYO 3114 Homestay Dalimo
173,tambura,SS,5.6,27.47,Guest hous Tambura
174,arman,RU,59.7,150.17,
175,chicama,PE,-7.84,-79.15,Hospedaje Punta Cana PERU
176,bellevue,US,47.61,-122.2,The Westin Bellevue
177,biak,ID,-0.91,122.88,Penginapan Kim
178,bratsk,RU,56.13,101.61,Shvedka
179,cotonou,BJ,6.37,2.42,Novotel Cotonou Orisha
180,korcula,HR,42.96,17.14,Hotel Marko Polo
181,tomatlan,MX,19.93,-105.25,Norma franco
182,sesheke,ZM,-17.48,24.3,Protea Hotel by Marriott Zambezi River Lodge
183,portland,US,45.52,-122.68,The Bidwell Marriott Portland
184,hammerfest,NO,70.66,23.68,Skytterhuset
185,olafsvik,IS,64.89,-23.71,Hotel Olafsvik
186,matamoros,MX,25.53,-103.25,Recreativo Sabdy Briseidy
187,brigantine,US,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
188,kahului,US,20.89,-156.47,Maui Seaside Hotel
189,norman wells,US,35.22,-97.44,"Country Inn & Suites by Radisson, Norman, OK"
190,beloha,MG,-25.17,45.05,
191,klaksvik,FO,62.23,-6.59,Airbnb rooms
192,fort-shevchenko,KZ,44.51,50.26,Oasis hotel Bautino
193,pangnirtung,CA,66.15,-65.71,Kilabuk Lodge
194,abu jubayhah,IN,24.6,72.7,Hotel Ganesh
195,bonthe,SL,7.53,-12.51,Bonthe Holiday Village
196,alekseyevskaya,RU,50.29,42.18,
197,namibe,AO,-15.2,12.15,Hotel Chik Chik Namibe
198,bhag,PK,29.04,67.82,Bukhari hotl
199,salalah,OM,17.02,54.09,HAMDAN PLAZA HOTEL
200,arlit,NE,18.74,7.39,Hôtel Telwa Bungalow
