,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,celestun,1,MX,1609818467,89,20.87,-90.4,72.59,11.97
1,chokurdakh,55,RU,1609818467,85,70.63,147.92,-25.11,11.36
2,new norfolk,98,LR,1609818191,94,6.65,-10.59,74.88,1.25
3,rikitea,9,PF,1609818467,73,-23.12,-134.97,76.93,17.02
4,mataura,100,NZ,1609818467,87,-46.19,168.86,58.37,0.89
5,hermanus,100,ZA,1609818194,86,-34.42,19.23,70.0,1.01
6,avarua,29,CK,1609818467,70,-21.21,-159.78,84.2,13.87
7,busselton,0,AU,1609818467,37,-33.65,115.33,82.0,5.99
8,yulara,75,AU,1609818467,30,-25.24,130.99,80.6,14.99
9,kapaa,40,US,1609818467,78,22.08,-159.32,75.2,10.29
10,talnakh,90,RU,1609818467,75,69.49,88.4,-13.0,15.66
11,moron,83,AR,1609818228,81,-34.65,-58.62,75.99,1.99
12,port alfred,78,CD,1609818462,69,-7.03,29.76,72.59,4.61
13,ribeira grande,0,ES,1609818467,92,42.75,-8.44,34.0,1.12
14,samarai,98,PG,1609818468,69,-10.62,150.67,86.7,13.31
15,ulladulla,32,AU,1609818468,54,-35.35,150.47,82.4,3.36
16,atuona,93,PF,1609818468,77,-9.8,-139.03,78.44,16.73
17,hithadhoo,100,MV,1609818468,74,-0.6,73.08,83.08,17.45
18,pasighat,16,IN,1609818468,28,28.07,95.33,73.81,2.24
19,bucerias,5,MX,1609818468,88,20.75,-105.33,68.0,2.24
20,amberley,75,US,1609818468,92,39.2,-84.43,35.01,2.33
21,kaitangata,100,NZ,1609818468,85,-46.28,169.85,60.01,5.99
22,makakilo city,75,US,1609818468,57,21.35,-158.09,80.6,5.82
23,longyearbyen,90,SJ,1609818468,92,78.22,15.64,28.4,47.2
24,saint-philippe,90,RE,1609818468,74,-21.36,55.77,78.8,11.41
25,punta arenas,67,PH,1609818468,71,8.99,125.34,83.61,4.5
26,east london,0,IS,1609818172,74,65.0,-15.0,28.4,3.36
27,vaini,75,TO,1609818469,83,-21.2,-175.2,82.4,13.87
28,ishigaki,75,JP,1609818469,88,24.34,124.16,69.8,21.92
29,guerrero negro,0,MX,1609818469,53,17.67,-100.0,64.69,3.42
30,ushuaia,75,AR,1609818469,53,-54.8,-68.3,51.8,3.36
31,lompoc,90,US,1609818279,93,34.64,-120.46,55.99,4.7
32,belaya gora,100,UA,1609818469,100,49.03,25.77,42.01,4.0
33,qaanaaq,77,GL,1609818469,74,77.48,-69.36,-4.22,4.9
34,geraldton,40,AU,1609818469,19,-28.77,114.6,91.4,29.97
35,thompson,75,CA,1609818469,83,55.74,-97.86,-5.8,3.69
36,rwamagana,40,RW,1609818469,87,-1.95,30.43,60.8,3.36
37,waingapu,100,ID,1609818470,77,-9.66,120.26,80.22,4.88
38,hilo,90,US,1609818422,69,19.73,-155.09,77.0,6.93
39,inirida,8,CO,1609818470,95,3.87,-67.92,72.23,1.01
40,upernavik,100,GL,1609818470,88,72.79,-56.15,18.54,35.34
41,san cristobal,3,ML,1609818304,21,13.3,-4.9,72.28,11.48
42,xichang,100,CN,1609818470,48,27.9,102.26,56.64,2.75
43,victoria,17,HK,1609818222,47,22.29,114.16,70.0,1.99
44,georgetown,40,MY,1609818352,78,5.41,100.34,84.0,9.17
45,albany,97,US,1609818424,87,42.6,-73.97,34.0,2.48
46,provideniya,0,RU,1609818470,86,64.38,-173.3,-3.05,12.55
47,kalmunai,79,LK,1609818470,82,7.42,81.82,80.15,5.3
48,saskylakh,100,RU,1609818470,91,71.92,114.08,0.46,14.58
49,bambous virieux,40,MU,1609818470,78,-20.26,57.41,80.01,6.93
50,narsipatnam,89,IN,1609818470,73,17.67,82.62,75.2,4.7
51,mar del plata,90,ES,1609818471,100,43.4,-4.01,39.0,6.44
52,yurimaguas,100,PE,1609818471,96,-5.9,-76.08,74.1,0.85
53,grajau,100,BR,1609818471,91,-5.82,-46.14,72.99,0.54
54,kieta,88,PG,1609818471,61,-6.22,155.63,85.86,2.08
55,jamestown,90,US,1609818391,100,42.1,-79.24,32.0,4.7
56,kruisfontein,98,ZA,1609818471,94,-34.0,24.73,71.01,1.99
57,mount gambier,77,GB,1609818471,94,53.66,-1.85,34.0,1.99
58,roebourne,15,AU,1609818471,36,-20.78,117.13,94.26,15.26
59,coihaique,0,CL,1609818471,66,-45.58,-72.07,51.8,3.36
60,thouars,100,FR,1609818471,1,46.98,-0.22,37.0,1.99
61,youkounkoun,0,GN,1609818471,26,12.53,-13.13,70.25,2.28
62,saldanha,51,ZA,1609818471,88,-33.01,17.94,62.6,6.93
63,dikson,100,RU,1609818471,94,73.51,80.55,2.88,25.93
64,cape town,0,CL,1609818472,46,-36.41,-71.9,69.8,10.29
65,nikolskoye,40,RU,1609818472,85,59.7,30.79,27.0,3.42
66,allanridge,98,ZA,1609818472,94,-27.75,26.64,64.0,3.8
67,amalapuram,56,IN,1609818472,73,16.58,82.02,73.4,5.82
68,naze,75,JP,1609818472,88,28.37,129.48,64.4,19.46
69,caxito,40,AO,1609818472,88,-8.58,13.66,77.0,6.93
70,jaunpur,75,IN,1609818472,88,25.73,82.68,62.6,3.6
71,karratha,21,AU,1609818472,36,-20.74,116.85,93.4,12.97
72,rocha,69,UY,1609818472,92,-34.48,-54.33,67.46,9.57
73,constitucion,12,CL,1609818472,62,-35.33,-72.42,58.19,6.87
74,jaca,43,ES,1609818472,91,42.57,-0.55,19.99,4.09
75,warmbad,83,NA,1609818472,79,-28.45,18.73,69.8,5.7
76,yongchang,100,CN,1609818472,75,30.04,119.73,46.0,7.27
77,barrow,90,US,1609818473,91,71.29,-156.79,-18.4,4.7
78,faanui,100,PF,1609818473,74,-16.48,-151.75,81.12,16.31
79,mahebourg,40,MU,1609818387,78,-20.41,57.7,77.0,6.93
80,ayr,40,GB,1609818473,100,55.46,-4.63,28.99,4.7
81,ponta do sol,100,PT,1609818473,94,38.73,-28.27,57.56,31.74
82,airai,97,TL,1609818473,85,-8.93,125.41,71.85,3.36
83,leshan,100,CN,1609818186,59,29.56,103.76,51.67,2.68
84,pevek,100,RU,1609818473,89,69.7,170.31,-15.14,8.05
85,khatanga,94,RU,1609818473,89,71.97,102.5,-9.02,17.29
86,buzdyak,100,RU,1609818473,96,54.58,54.55,14.76,5.75
87,araguacu,27,BR,1609818473,87,-12.93,-49.83,72.79,2.62
88,tadine,65,NC,1609818473,83,-21.55,167.88,81.57,15.08
89,hargeysa,6,SO,1609818474,92,9.56,44.06,56.7,7.67
90,ust-barguzin,100,RU,1609818474,88,53.45,108.98,-6.27,9.89
91,snyder,1,US,1609818287,60,32.72,-100.92,42.8,3.83
92,butaritari,100,KI,1609818474,77,3.07,172.79,82.17,18.7
93,bethel,80,US,1609818474,93,41.37,-73.41,32.0,3.51
94,huarmey,100,PE,1609818474,82,-10.07,-78.15,70.38,5.86
95,collie,0,AU,1609818474,32,-33.37,116.15,79.0,4.0
96,padang,20,ID,1609818213,58,-0.95,100.35,87.8,4.7
97,moerai,0,PF,1609818474,78,-22.43,-151.33,80.19,17.52
98,cayenne,0,GF,1609818474,100,4.93,-52.33,75.2,2.24
99,okha,100,RU,1609818474,90,53.57,142.95,-7.47,26.11
100,alpoyeca,0,MX,1609818474,57,17.67,-98.52,67.69,4.21
101,cherskiy,87,RU,1609818474,85,68.75,161.3,-28.37,6.55
102,saint-pierre-des-corps,90,FR,1609818475,95,47.38,0.73,35.6,8.05
103,ostrovnoy,50,RU,1609818475,94,68.05,39.51,11.37,11.18
104,teguldet,0,RU,1609818475,86,57.31,88.17,-22.58,3.42
105,mahuva,0,IN,1609818475,40,21.09,71.76,69.04,12.39
106,lafiagi,0,NG,1609818475,52,8.87,5.42,73.09,3.85
107,leningradskiy,100,RU,1609818475,87,69.38,178.42,-5.91,6.91
108,honningsvag,99,NO,1609818475,79,70.98,25.97,41.07,20.45
109,nanortalik,98,GL,1609818475,96,60.14,-45.24,26.96,7.67
110,port blair,78,CD,1609818475,69,-7.03,29.76,72.59,4.61
111,egvekinot,100,RU,1609818475,85,66.32,-179.17,-5.15,11.86
112,nuqui,36,CO,1609818475,85,5.71,-77.27,76.06,2.8
113,yellowknife,20,CA,1609818244,74,62.46,-114.35,-24.0,8.05
114,rabat,75,MA,1609818475,75,33.99,-6.84,48.0,3.36
115,beyla,30,GN,1609818476,71,8.68,-8.63,69.39,2.77
116,juarez,5,MX,1609818476,26,31.73,-106.48,53.01,3.4
117,hasaki,75,JP,1609818279,75,35.73,140.83,50.0,3.36
118,souillac,40,MU,1609818476,78,-20.52,57.52,77.0,6.93
119,brae,100,GB,1609818476,86,60.4,-1.35,41.0,10.29
120,lagoa,96,PT,1609818476,81,39.05,-27.98,60.84,26.49
121,ambanja,75,MG,1609818476,85,-13.68,48.45,75.2,4.7
122,verkhnetulomskiy,0,RU,1609818476,76,68.61,31.8,-5.8,3.24
123,jiuquan,0,CN,1609818363,74,39.74,98.52,11.89,0.96
124,salta,0,AR,1609818476,87,-24.79,-65.41,60.8,3.36
125,batticaloa,96,LK,1609818476,82,7.71,81.69,79.61,4.07
126,yevlax,90,AZ,1609818476,86,40.61,47.15,37.4,9.17
127,wangaratta,40,AU,1609818476,28,-36.37,146.33,84.2,11.41
128,tilichiki,21,RU,1609818476,89,60.47,166.1,-16.58,10.36
129,bluff,99,NZ,1609818477,90,-46.6,168.33,55.22,3.18
130,tiksi,99,RU,1609818477,88,71.69,128.87,-14.08,10.74
131,hobart,40,AU,1609818411,60,-42.88,147.33,72.0,10.29
132,ayan,22,RU,1609818477,76,56.45,138.17,-16.69,13.65
133,bredasdorp,100,ZA,1609818477,83,-34.53,20.04,69.8,8.05
134,chuy,32,UY,1609818477,88,-33.7,-53.46,69.67,11.01
135,morehead,1,US,1609818477,70,37.27,-87.18,44.6,6.04
136,severo-kurilsk,76,RU,1609818477,91,50.68,156.12,19.87,22.95
137,necochea,100,AR,1609818477,93,-38.55,-58.74,62.01,17.36
138,nizwa,0,OM,1609818477,36,22.93,57.53,58.98,4.29
139,clyde river,22,US,1609818477,80,41.3,-82.98,34.0,4.88
140,kodiak,90,US,1609818477,96,57.79,-152.41,33.8,8.05
141,korla,0,CN,1609818478,78,41.76,86.15,17.73,6.53
142,bataysk,100,RU,1609818478,94,47.14,39.75,33.01,28.99
143,phonhong,20,LA,1609818478,68,18.5,102.42,71.6,2.24
144,haines junction,90,US,1609818478,79,59.23,-135.44,24.8,14.99
145,tuktoyaktuk,75,CA,1609818478,82,69.45,-133.04,-16.6,9.17
146,mount isa,77,GB,1609818359,94,53.66,-1.85,34.0,1.99
147,paamiut,100,GL,1609818478,99,61.99,-49.67,30.9,21.12
148,pisco,0,PE,1609818478,88,-13.7,-76.22,69.8,10.29
149,dingle,99,PH,1609818478,73,11.0,122.67,82.76,15.5
150,fortuna,90,US,1609818478,100,40.6,-124.16,45.0,8.05
151,nuuk,100,GL,1609818478,92,64.18,-51.72,21.2,5.82
152,porto recanati,0,PT,1609818391,100,41.15,-8.61,33.8,4.74
153,cascais,20,PT,1609818478,100,38.7,-9.42,45.0,2.24
154,ahipara,25,NZ,1609818478,62,-35.17,173.17,72.91,2.33
155,phan thiet,14,TH,1609818479,77,19.55,99.74,75.99,3.36
156,stornoway,5,GB,1609818479,81,58.21,-6.39,34.0,2.24
157,velingara,0,SN,1609818479,22,13.15,-14.12,74.26,6.6
158,puerto ayora,75,ES,1609818479,93,36.59,-6.23,44.6,4.7
